"season","date","home_team","guest_team","score","home_score","guest_score","odds_1","odds_x","odds_2","explore_id","outcome","ftr"
"Elitserien 2013/2014","29.01.2014","Alingsas","Rimbo","32:24","32","24","1.03","18.10","15.54","pKEsjEoJ",,"1"
"Elitserien 2013/2014","29.01.2014","Hammarby","Drott","28:29","28","29","1.71","8.62","2.53","QFiUDHwQ",,"2"
"Elitserien 2013/2014","29.01.2014","Lund","Kristianstad","26:32","26","32","5.72","12.33","1.19","hCdzhzH6",,"2"
"Elitserien 2011/2012","27.12.2011","Drott","Redbergslids","26:27","26","27","1.45","10.55","3.18","fytPVMyb",,"2"
"Elitserien 2011/2012","27.12.2011","Lund","Alingsas","29:25","29","25","2.73","9.80","1.57","SlvXT06A",,"1"
"Elitserien 2011/2012","27.12.2011","Ystads IF","Lugi","29:29","29","29","1.45","10.48","3.19","YRvTUti4",,"X"
"Elitserien 2011/2012","26.12.2011","Aranas","Tumba","31:27","31","27","1.31","11.70","3.96","tlzQ8aUp",,"1"
"Elitserien 2011/2012","26.12.2011","Kristianstad","Guif","29:29","29","29","2.33","9.02","1.78","b9nGXr7o",,"X"
"Elitserien 2011/2012","26.12.2011","Malmo","Skovde","28:34","28","34","1.56","9.71","2.79","x0oKW2Mi",,"2"
"Elitserien 2011/2012","26.12.2011","Savehof","Hammarby","27:25","27","25","1.03","17.25","13.92","4SrbDuMT",,"1"
"Elitserien 2011/2012","22.12.2011","Hammarby","Savehof","25:30","25","30","5.50","13.10","1.19","buTyv0n8",,"2"
"Elitserien 2011/2012","22.12.2011","Alingsas","Lund","23:28","23","28","1.17","13.50","5.78","zmeoGsxB",,"2"
"Elitserien 2010/2011","06.02.2011","Kristianstad","Savehof","31:31","31","31","","","","Yg9NBnOq",,"X"
"Elitserien 2010/2011","04.02.2011","Hammarby","Guif","25:29","25","29","","","","UDU6e4TK",,"2"
"Elitserien 2010/2011","04.02.2011","Malmo","Drott","22:23","22","23","","","","YoybcQb8",,"2"
"Elitserien 2010/2011","04.02.2011","Savehof","Redbergslids","27:34","27","34","","","","27njUfvB",,"2"
"Elitserien 2010/2011","02.02.2011","Alingsas","Aranas","30:29","30","29","","","","2NUYVG9b",,"1"
"Elitserien 2010/2011","02.02.2011","Guif","Lugi","29:35","29","35","","","","xGXMYIPu",,"2"
"Elitserien 2010/2011","02.02.2011","Hammarby","Kristianstad","22:26","22","26","","","","G6WQXxun",,"2"
"Elitserien 2010/2011","02.02.2011","Lund","Malmo","26:34","26","34","","","","pnKwVzP4",,"2"
"Elitserien 2009/2010","27.12.2009","Drott","Redbergslids","33:27","33","27","1.67","9.10","2.52","bBuMEfU8",,"1"
"Elitserien 2009/2010","27.12.2009","Helsingborg","Guif","30:33","30","33","2.85","9.44","1.55","voZQjix2",,"2"
"Elitserien 2009/2010","27.12.2009","Kristianstad","Lund","31:24","31","24","1.60","9.32","2.71","KKtIFzF2",,"1"
"Elitserien 2009/2010","27.12.2009","Lugi","Ystads IF","28:30","28","30","1.71","8.93","2.46","hYvQDEqF",,"2"
"Elitserien 2009/2010","26.12.2009","Lindesberg","Malmo","27:26","27","26","1.57","9.46","2.77","6XzJhD7k",,"1"
"Elitserien 2009/2010","26.12.2009","Savehof","Skovde","38:26","38","26","1.23","12.29","4.77","fcXEgghq",,"1"
